term;definition;source
prescripción;"""Modalidad de extinción de los derechos y de las pretensiones para hacerlos valer, derivada de la falta de ejercicio durante el tiempo establecido por la Ley."" [ES]";Juan Manuel Fdez. Martínez (Coordinador). Diccionario Jurídico. (6ª ed.) Aranzadi.
declaración;Afirmación sobre hechos o cuestiones de derecho mediante las que una de las partes induce a la otra a firmar un contrato. Se realizan en la fase previa a la firma pero pueden repetirse e corporase en los contratos.<br>Deben ser veraces puesto que, de no serlo, dan derecho a la rescisión del contrato y a indemnizaciones para que la parte compradora vuelva a encontrarse en la misma posición en la que se encontraba antes de la firma del contrato.;"Termes a partir de:<br>Barros Bourie, E. y Rojas Covarrubias, N.: Responsabilidad por declaraciones y garantías contractuales, Universidad de Chile <a href=""https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510"" target=""_blank"">https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510</a> [16.04.2013].<p>Dryden, D.:<i> Warranty or representation? The £16.75 million question</i>, <a href=""http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/"" target=""_blank"">http://www.olswang.com/articles/2013/02/warranty-or-representation-the-%C2%A31675-million-question/</a> (artículo publicado en inglés) [16.04.2013].</p>"
cláusula de fidelidad;cláusula por la que el franquiciado se compromete a dedicar todo su tiempo a la actividad franquiciada, no pudiendo desempeñar ninguna otra;Iberfranquicia
obligación ambulatoria;"Derecho de obligación en el cual el deudor aparece determinado por el hecho de ser propietario o poseedor de una cosa; es deudor de la prestación quien en cada momento sea propietario. [ES]";Martín Sánchez-Ferrero y García, “Las obligaciones ambulatorias o propter rem en el régimen de propiedad horizontal”, Actualidad civil, nº 2, 2001, págs. 679-696. ISSN 0213-7100
sucesión legal;"La transmisión según normas legales, de los derechos y obligaciones del causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> , por su muerte o presunción de su fallecimiento, cuando no deja testamento <a href=""/entry/result/1130370/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130370</a> , o éste resulta nulo o ineficaz.<br>La deferida por disposición de la ley a ciertos parientes del difunto, y en último caso al Estado, cuando se muere sin testamento alguno o carece de eficacia el hecho.";"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 (voces ""sucesión intestada"" y ""sucesión legítima"")."
mecanismo extrajudicial de resolución de litigios;Mecanismo alternativo de resolución de controversias que recurre a vías distintas de las propiamente judiciales.;DGT-ES-TERM
sistema de reclamación pública;Sistema o procedimientos establecidos por el ente público para recibir, gestionar y resolver las quejas, reclamaciones o denuncias de los ciudadanos.;"Consejo-ES, a partir de <a href=""https://www.fvmp.es/formacion/curso/atencion-y-tratamiento-de-quejas-y-reclamaciones-de-la-ciudadania/276/?l=es"" target=""_blank"">Federación Valenciana de Municipios y Provincias: Formación &gt; Curso &gt; Atención y tratamiento de quejas y reclamaciones de la ciudadanía, 2019<time datetime=""15.5.2020""> (15.5.2020)</time></a>"
repudiación de la herencia;"Renuncia de una sucesión legítima o <i>ab intestato</i> <a href=""/entry/result/1253166/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1253166</a> . Manifestación expresa (...) de un heredero <a href=""/entry/result/83114/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:83114</a> voluntario, forzoso <a href=""/entry/result/1131737/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1131737</a> o legítimo <a href=""/entry/result/1131732/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1131732</a> que le priva de su condición de sucesor del causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> y borra los efectos del llamamiento hereditario.<br>La repudiación de la herencia deberá hacerse en instrumento público auténtico, o por escrito (...).";"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981;<br>Código Civil, art. 1008 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a>"
declaraciones y garantías;Claúsula que se incorpora en los contratos de compraventa en la que la parte vendedora formula ciertas declaraciones con el fin de ofrecer garantías al comprador. Su función es, por un lado, facilitar información y, por otro, servir como instrumento para la atribución de responsabilidades.<br>Se trata de una técnica contractual anglosajona que se ha generalizado en contratos de compraventa.;"Termes a partir de:<br>Alcalde Rodríguez, E.: La cláusula de ""declaraciones y garantías"" en la venta de una empresa: naturaleza jurídica y efectos, Revista Actualidad Jurídica n.º 17, enero de 2008, Universidad del Desarrollo de Santiago de Chile <a href=""https://www.u-cursos.cl/derecho/2009/2/D122A0627/3/material_docente/bajar?id_material=248876"" target=""_blank"">https://www.u-cursos.cl/derecho/2009/2/D122A0627/3/material_docente/bajar?id_material=248876</a> [16.04.2013].<p>Barros Bourie, E. y Rojas Covarrubias, N.: Responsabilidad por declaraciones y garantías contractuales, Universidad de Chile <a href=""https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510"" target=""_blank"">https://www.u-cursos.cl/derecho/2010/1/D122A0627/1/material_docente/bajar?id_material=281510</a> [16.04.2013].</p>"
obligación propter rem;"Derecho de obligación en el cual el deudor aparece determinado por el hecho de ser propietario o poseedor de una cosa; es deudor de la prestación quien en cada momento sea propietario. [ES]";Martín Sánchez-Ferrero y García, “Las obligaciones ambulatorias o propter rem en el régimen de propiedad horizontal”, Actualidad civil, nº 2, 2001, págs. 679-696. ISSN 0213-7100
línea;"El término francés ""<i>lignée</i>"" equivale a dos conceptos distintos en Derecho sucesorio español:<br>1) ""<b>línea</b>"": En el contexto de la sucesión intestada <a href=""/entry/result/1253166/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1253166</a> , la generación de grados de parentesco que determinan el derecho de sucesión <a href=""/entry/result/3536433/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3536433</a> . Puede ser <b><i>recta</i></b> (descendente o ascendente) o <b><i>colateral</i></b>.<br>2) ""<b>estirpe</b>"": En materia hereditaria, sucesión por representación <a href=""/entry/result/1132810/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1132810</a> ; o conjunto que forma la descendencia de un sujeto cuando ocupa su lugar y sucede conjuntamente por él.";"1) Consejo-ES; véanse<br>- Molina Porcel, M.: Derecho de Sucesiones, capítulo 6 - La sucesión intestada, punto 5.2 <a href=""http://www.difusionjuridica.com/HTML/inmueble/bibliopremium/www.bdigrupodifusion.es/verdocumentopr.php-n=3000&amp;d=lib119-6&amp;e=pdf.pdf"" target=""_blank"">http://www.difusionjuridica.com/HTML/inmueble/bibliopremium/www.bdigrupodifusion.es/verdocumentopr.php-n=3000&amp;d=lib119-6&amp;e=pdf.pdf</a> , y<br>- Universidad de Huelva, sitio de internet de UGT: Los grados de parentesco <a href=""http://www.uhu.es/ugt/grados.pdf"" target=""_blank"">http://www.uhu.es/ugt/grados.pdf</a> <br>2) Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981"
indignidad para suceder;En su principal acepción jurídica, mala acción o pasividad grave que imposibilita o impide a quien en ella incurre para heredar al ofendido.;Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
reestructuración de la deuda;Puede incluir, entre otras posibilidades, una reducción de la suma a pagar por el deudor o una ampliación del plazo de pago concedido al deudor.;"Consejo-ES; véase Propuesta de Reglamento por el que se modifica el Reglamento (CE) n.° 1346/2000 del Consejo sobre procedimientos de insolvencia, nota 5 (doc. 5983/1/14 REV 1 del Consejo)"
proceso civil;Rama del derecho que regula la presentación, desarrollo y solución de las reclamaciones planteadas ante los órganos jurisdiccionales fundadas en la aplicación de las normas de derecho privado y que determina los presupuestos, contenido y efectos de la relación jurídico-procesal en todas las materias civiles y mercantiles, así como la organización de los órganos jurisdiccionales del orden civil.;"Consejo-ES a partir de diversas fuentes:<div>- Iberley: <a href=""https://www.iberley.es/temas/derecho-procesal-civil-53611"" target=""_blank"">Temas, Civil, Derecho procesal civil <time datetime=""21.4.2020""> (21.4.2020)</time></a></div><div>- Enciclopedia jurídica, <a href=""http://www.enciclopedia-juridica.com/d/derecho-procesal-civil/derecho-procesal-civil.htm"" target=""_blank"">«derecho procesal civil»<time datetime=""22.4.2020""> (22.4.2020)</time></a></div><div>- Gascón Inchausti, F.: <a href=""https://eprints.ucm.es/56973/1/Derecho%20Procesal%20Civil%20-%20Fernando%20Gascon%20Inchausti%20-%202019.pdf"" target=""_blank""><i>Derecho procesal civil. Materiales para el estudio, </i>Universidad Complutense de Madrid, 2019-2020<time datetime=""16.4.2020""> (16.4.2020)</time></a></div>"
responsabilidad civil nacida de delito;""Denominación que algunos civilistas utilizan para abreviación de la más conocida como ""responsabilidad civil nacida de delito"""". ""...civil nacida de delito"": ""La acción u omisión delictiva, la castigada con una pena, produce casi inevitablemente un perjuicio material o moral, que merece ser reparado para satisfacer, junto con el interés social que se concreta en la sanción criminal, la lesión patrimonial o afectiva que la víctima o sus causahabientes experimentan"".";Cabanellas
