"term";"definition";"retrieved_sources"
"método estándar simplificado para el riesgo de crédito de contraparte";"El método estándar simplificado para el riesgo de crédito de contraparte es un enfoque de evaluación del riesgo crediticio que se enfoca en la simplificación de los métodos tradicionales para una mayor eficiencia y velocidad en la toma de decisiones. Este método busca identificar y calificar el riesgo de crédito asociado con las contrapartes, es decir, las entidades con las que se realizan transacciones financieras, como bancos, corporaciones, etc. El objetivo es proporcionar una visión clara y objetiva del riesgo crediticio, permitiendo a las instituciones financieras tomar decisiones informadas sobre la exposición al riesgo y la gestión del mismo. El método estándar simplificado para el riesgo de crédito de contraparte se basa en la evaluación de factores como la solvencia, la liquidez, la reputación y";"[""[\\""http://www.camelsr.com/ProductosyServicios/Earnings.aspx\\"", \\""http://www.expansion.com/diccionario-economico/activo-bancario.html\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""https://www.universidadviu.com/es/actualidad/nuestros-expertos/para-que-sirven-las-agencias-de-calificacion-crediticia-o-de-rating\\""]""]"
"punto de entrada único";"El término ""punto de entrada único"" se refiere a la práctica de redireccionar a los usuarios a una sola página o URL cuando intentan acceder a una página no válida o inexistente en un sitio web. Esto permite evitar errores de navegación y mantener la experiencia del usuario intacta. El punto de entrada único es una forma de manejar las solicitudes de URLs no válidas, dirigiendo al usuario a una página de error o una página de inicio, en lugar de mostrar un mensaje de error técnico. De esta manera, se mejora la seguridad y la usabilidad del sitio web.";"[""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]""]"
"financiamiento de contrapartida";"Financiamiento de contrapartida";"[""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.camelsr.com/ProductosyServicios/Earnings.aspx\\"", \\""http://www.expansion.com/diccionario-economico/activo-bancario.html\\""]""]"
"cartera con bajo nivel de incumplimientos";"Una cartera con bajo nivel de incumplimientos se refiere a un conjunto de activos financieros que tienen un historial de pago y cumplimiento de obligaciones muy bueno, es decir, una cartera con un alto grado de liquidez y solvencia. Esto significa que los activos de la cartera tienen un bajo riesgo de incumplimiento, lo que hace que sean más atractivos para los inversores que buscan una inversión segura y rentable. La cartera con bajo nivel de incumplimientos se caracteriza por tener una alta calidad crediticia, lo que se traduce en una menor probabilidad de que los activos no sean pagados a tiempo o no sean devueltos en su totalidad. Esto permite a los inversores confiar en la cartera y tomar decisiones informadas sobre sus inversiones. En resumen, una cartera con bajo nivel de incumplimientos es una cartera";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]""]"
"fondos propios de base";"Fondos propios de base son los recursos financieros que una empresa tiene disponibles para cubrir sus pérdidas y mantener su solvencia, sin tener que recurrir a préstamos o inversiones externas.";"[""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]""]"
"activo de nivel 1";"El término ""activo de nivel 1"" se refiere a un activo que puede ser vendido rápidamente sin afectar significativamente la actividad de la entidad, y que se utiliza para maximizar su valor y evitar efectos adversos en los mercados financieros. Este tipo de activo se destaca por su liquidez y su capacidad para ser gestionado y vendido en un plazo determinado, como máximo dos años, bajo el control de la autoridad de resolución. Los activos de nivel 1 pueden incluir bienes tangibles, derechos de propiedad intelectual, activos financieros líquidos, entre otros. Su objetivo principal es restaurar la situación patrimonial y de solvencia de la entidad a través de su venta y conversión en capital, lo que permite recapitalizar la entidad y corregir las causas que produjeron su inviabilidad.";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"activo improductivo";"El término ""activo improductivo"" se refiere a un activo que no genera ingresos ni beneficios para la empresa o entidad, sino que representa un costo o una carga financiera. Puede ser un activo que ya no se utiliza o que no tiene valor comercial, como un edificio abandonado o un equipo obsoleto. También puede ser un activo que se encuentra en proceso de liquidación o que se espera que pierda valor en el futuro. En resumen, un activo improductivo es cualquier activo que no contribuye a la generación de ingresos o beneficios para la empresa o entidad.";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]""]"
"activo de nivel 2";"El término ""activo de nivel 2"" se refiere a un tipo de activo que puede ser traspasado a una sociedad especializada, llamada sociedad de gestión de activos, con el objetivo de venderlo en un plazo determinado y maximizar su valor, evitando efectos adversos en los mercados financieros y garantizando el buen funcionamiento de la entidad en resolución. Este tipo de activo puede ser utilizado para restablecer la situación patrimonial y de solvencia de la entidad a través de la amortización y conversión de instrumentos de deuda.";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"P2R";"La definición del término ""P2R"" es: P2R significa ""Peer-to-Peer Risk"". Es decir, el riesgo compartido entre pares o iguales. En el contexto de la regulación financiera, P2R se refiere a la transferencia de riesgos entre instituciones financieras, como bancos y aseguradoras, a través de acuerdos de compartición de riesgos o contratos de cobertura de riesgos. Esto permite a las instituciones reducir sus exposiciones individuales a ciertos riesgos y compartir la carga de los posibles pérdidas con otras instituciones. El objetivo principal de P2R es mejorar la estabilidad financiera y reducir el riesgo sistémico en el sistema financiero.";"[""[\\""http://eur-lex.europa.eu/legal-content/ES/ALL/?uri=CELEX:32015R0035\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014R0680\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"activo transferible de liquidez y calidad crediticia sumamente elevadas";"Un activo transferible de liquidez y calidad crediticia sumamente elevadas.";"[""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]""]"
"hipótesis contrafactual de insolvencia";"La hipótesis contrafactual de insolvencia se refiere a la suposición de que una entidad financiera o empresa está en una situación de insolvencia, es decir, que no tiene la capacidad de pagar sus deudas y obligaciones financieras. Esta hipótesis se utiliza como base para analizar y evaluar la viabilidad de la entidad y tomar decisiones sobre su resolución o reestructuración. En este sentido, la hipótesis contrafactual de insolvencia es una herramienta conceptual que permite a las autoridades competentes y a los expertos financieros evaluar la situación de la entidad y determinar si es necesario implementar medidas de resolución o reestructuración para evitar la insolvencia y proteger los intereses de los acreedores y stakeholders involucrados..";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"doble recurso";"Doble recurso: Un doble recurso es un mecanismo financiero que permite a un inversor obtener dos flujos de ingresos diferentes de una sola inversión. Esto puede incluir la posibilidad de recibir intereses o dividendos, además de la ganancia potencial de la venta del activo subyacente. El doble recurso se utiliza comúnmente en instrumentos financieros como bonos convertibles, opciones y futuros, y puede ser utilizado para diversificar la cartera y aumentar las posibilidades de ganancias. Sin embargo, también conlleva un mayor riesgo, ya que la complejidad del mecanismo puede hacer que sea difícil predecir los resultados. Por lo tanto, es importante que los inversores tomen medidas de precaución y realicen una investigación exhaustiva antes de invertir en un doble recurso.";"[""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"titulización de venta verdadera";"La titulización de venta verdadera es un instrumento de resolución que permite a la autoridad de resolución vender la entidad o partes de su negocio a uno o más compradores, preservando la actividad de la entidad hasta que ésta sea vendida en un plazo máximo de dos años. Esto se logra mediante el traspaso de funciones, activos y pasivos a un ""banco puente"" controlado por la autoridad de resolución. Además, se pueden crear sociedades de gestión de activos para vender activos y pasivos en un plazo determinado, maximizando su valor y evitando efectos adversos en los mercados financieros. La titulización de venta verdadera también implica la amortización de pérdidas no cubiertas por fondos propios y la conversión de instrumentos de deuda en capital para recapitalizar la entidad. Finalmente, la entidad debe someterse a";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"AVC";"La definición del término ""AVC"" es: Redirección de una página web a otra URL no válida.";"[""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]""]"
"ratio de apalancamiento";"La ratio de apalancamiento es la relación entre la deuda total de una empresa y su capital contable, que indica la capacidad de la empresa para financiar sus actividades mediante la deuda en lugar de la inversión de capital. Se utiliza para evaluar la liquidez y la solvencia de una empresa. Un valor alto de ratio de apalancamiento puede indicar que la empresa está sobreendeudada y puede tener dificultades para pagar sus deudas, mientras que un valor bajo puede indicar que la empresa tiene una buena gestión de la deuda y una buena posición financiera. La ratio de apalancamiento se calcula dividiendo la deuda total por el capital contable. Por ejemplo, si una empresa tiene una deuda total de $100.000 y un capital contable de $50.000, su ratio de apalancamiento sería de 2, lo que significa que la empresa está apalanc";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]""]"
"quita";"""quita"" es un término que puede referirse a diferentes conceptos dependiendo del contexto en el que se utilice. En general, puede significar la acción de eliminar, retirar o separar algo de algo más, o la cantidad o cantidad de algo que se elimina o retira. También puede ser un término utilizado en el ámbito financiero para referirse a la devolución de dinero o la cancelación de una transacción. En el contexto de las cooperativas de crédito, ""quita"" puede referirse a la devolución de depósitos o la cancelación de préstamos. En el contexto de la educación, ""quita"" puede referirse a la eliminación de un curso o programa de estudio. En el contexto de la administración, ""quita"" puede referirse a la eliminación de un empleado o la cancelación de un contrato. En general, el término ""quita"" implica la";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""https://www.unacc.com/sector-de-cooperativas-de-credito/faq/#toggle-id-14\\""]""]"
"comunicación de información con fines de supervisión";"La comunicación de información con fines de supervisión se refiere a la transmisión de datos y estadísticas por parte de instituciones financieras a las autoridades reguladoras, con el objetivo de monitorear y controlar su actividad y cumplimiento con las normas y regulaciones financieras. Esta comunicación es fundamental para garantizar la estabilidad y seguridad del sistema financiero, permitiendo a las autoridades identificar posibles riesgos y tomar medidas preventivas o correctivas cuando sea necesario.";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014R0680\\""]"", ""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]""]"
"proveedor de servicios de administración de créditos";"Proveedor de servicios de administración de créditos.";"[""[\\""https://www.unacc.com/sector-de-cooperativas-de-credito/faq/#toggle-id-14\\""]"", ""[\\""https://www.universidadviu.com/es/actualidad/nuestros-expertos/para-que-sirven-las-agencias-de-calificacion-crediticia-o-de-rating\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]""]"
"Agencia de Crédito a la Exportación";"ERROR: NVML_SUCCESS == r INTERNAL ASSERT FAILED at ""/pytorch/c10/cuda/CUDACachingAllocator.cpp"":1131, please report a bug to PyTorch. ";"[]"
"activo de liquidez y calidad crediticia sumamente elevadas";"Un activo de liquidez y calidad crediticia sumamente elevadas.";"[""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]""]"
"calificación triple A";"La calificación triple A (AAA) es la máxima nota otorgada por agencias de calificación crediticia, que indica un menor riesgo posible y una alta solvencia de una entidad o un instrumento de deuda.";"[""[\\""https://www.universidadviu.com/es/actualidad/nuestros-expertos/para-que-sirven-las-agencias-de-calificacion-crediticia-o-de-rating\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]""]"
"reducción del riesgo";"La reducción del riesgo es el proceso de minimizar o mitigar el riesgo potencial asociado con una inversión, negocio o actividad, mediante la implementación de medidas preventivas o correctivas para proteger los intereses de los inversores, acreedores o partes interesadas. Esto puede incluir la diversificación de inversiones, la gestión de carteras, la evaluación de riesgos, la implementación de políticas de seguridad y la adopción de medidas de mitigación de riesgos. El objetivo principal de la reducción del riesgo es disminuir la probabilidad de pérdidas y maximizar las posibilidades de beneficios.";"[""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]""]"
"periodo de reaseguro";"""periodo de reaseguro""";"[""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]""]"
"instrumento de resolución";"Instrumento de resolución: Es un mecanismo utilizado por las autoridades competentes para abordar la insolvencia de una entidad, que implica la venta de la entidad o partes de su negocio a uno o más compradores, o la creación de una sociedad de gestión de activos para vender activos y pasivos en un plazo determinado, con el objetivo de maximizar su valor y restaurar la situación patrimonial y de solvencia de la entidad. También puede implicar la amortización de pérdidas y la conversión de instrumentos de deuda en capital para recapitalizar la entidad. El objetivo final es restablecer la viabilidad futura de la entidad.";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"evitación de perjuicios suplementarios para los acreedores";"""Evitación de perjuicios suplementarios para los acreedores""";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]""]"
"fase de seguro pleno";"La fase de seguro pleno es el período durante el cual se garantiza la cobertura total de los riesgos o gastos asociados con un proyecto, producto o servicio, proporcionando una protección financiera completa y sin restricciones.";"[""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]""]"
